<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.04	6.55	7.00	6.53	6.84	24013	45962100	1
2016.01.05	6.89	6.97	6.59	6.65	23641	29446700	1
2016.01.06	6.51	6.52	6.38	6.38	37024	67504700	1
2016.01.07	6.17	6.41	6.06	6.24	28804	57387900	1
2016.01.08	6.36	6.43	6.11	6.25	23251	52100300	1
2016.01.11	6.25	6.28	6.03	6.07	33955	51334000	1
2016.01.12	6.10	6.10	5.49	5.51	49400	81627800	1
2016.01.13	5.68	5.72	5.23	5.25	40850	70874300	1
2016.01.14	5.29	5.67	5.11	5.67	36860	76854200	1
2016.01.15	5.33	5.42	5.14	5.15	50851	75571500	1
2016.01.18	5.17	5.19	4.78	4.78	29990	46407200	1
2016.01.19	5.01	5.03	4.62	4.64	39351	66529300	1
2016.01.20	4.48	4.48	4.24	4.41	38278	92914100	1
2016.01.21	4.35	4.65	4.34	4.48	38340	87455300	1
2016.01.22	4.71	4.75	4.38	4.39	63312	100576600	1
2016.01.26	4.21	4.29	4.10	4.18	52018	71933300	1
2016.01.27	4.20	4.62	4.14	4.55	37226	79437900	1
2016.01.28	4.65	5.11	4.33	4.58	59274	131960900	1
2016.01.29	4.68	4.84	4.50	4.82	64685	93013900	1
2016.02.01	4.72	4.84	4.64	4.70	28762	51910300	1
2016.02.02	4.54	4.63	4.28	4.28	41014	53610300	1
2016.02.03	4.40	4.50	4.20	4.47	35624	73786400	1
2016.02.04	4.54	4.92	4.34	4.71	48820	91976200	1
2016.02.05	4.71	4.76	4.51	4.52	28797	52704500	1
2016.02.10	4.28	4.39	4.26	4.29	28847	45747400	1
2016.02.11	4.18	4.25	4.10	4.21	44276	59451500	1
2016.02.12	4.35	4.49	4.28	4.43	52209	64027200	1
2016.02.15	4.54	4.58	4.50	4.50	30922	28490500	1
2016.02.16	4.48	4.62	4.40	4.42	25836	80343900	1
2016.02.17	4.52	4.80	4.49	4.66	55693	84473100	1
2016.02.18	4.67	4.85	4.53	4.57	32866	65026900	1
2016.02.19	4.48	4.55	4.38	4.44	23527	56031000	1
2016.02.22	4.65	5.02	4.61	5.02	35259	80150300	1
2016.02.23	4.93	5.26	4.80	4.90	39855	85037300	1
2016.02.24	4.75	4.91	4.63	4.85	41390	75039700	1
2016.02.25	4.79	5.06	4.77	4.87	30273	70393300	1
2016.02.26	5.00	5.08	4.81	4.85	25611	61396800	1
2016.02.29	5.06	5.21	4.96	5.12	36333	84165000	1
