<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.06.01	13:00:00	1.50	1.99	1.50	1.99	2	1700	1
2018.06.01	15:00:00	1.90	1.90	1.90	1.90	1	300	1
2018.06.06	12:00:00	1.12	1.14	1.12	1.14	2	800	1
2018.06.07	12:00:00	1.15	1.15	1.00	1.00	2	9000	1
2018.06.07	13:00:00	1.12	1.12	1.12	1.12	1	4000	1
2018.06.08	11:00:00	1.06	1.06	1.06	1.06	1	3000	1
2018.06.08	12:00:00	1.16	1.16	1.16	1.16	1	5000	1
2018.06.08	13:00:00	1.15	1.15	1.07	1.08	7	17800	1
2018.06.08	16:00:00	1.14	1.15	1.11	1.11	5	17300	1
2018.06.11	10:00:00	1.11	1.11	1.08	1.08	4	3200	1
2018.06.11	16:00:00	0.98	0.98	0.98	0.98	1	1000	1
2018.06.12	11:00:00	0.90	0.94	0.90	0.94	2	5500	1
2018.06.12	15:00:00	0.83	0.83	0.81	0.81	2	2000	1
2018.06.12	16:00:00	0.74	0.85	0.74	0.85	2	1100	1
2018.06.13	10:00:00	0.75	0.75	0.75	0.75	4	20000	1
2018.06.13	11:00:00	0.70	0.73	0.70	0.73	3	11300	1
2018.06.13	13:00:00	0.70	0.70	0.70	0.70	1	700	1
2018.06.13	14:00:00	0.66	0.66	0.66	0.66	1	1000	1
2018.06.13	16:00:00	0.74	0.76	0.74	0.76	2	1100	1
2018.06.14	10:00:00	0.78	0.78	0.78	0.78	3	5600	1
2018.06.14	11:00:00	0.77	0.77	0.77	0.77	2	4300	1
2018.06.14	12:00:00	0.75	0.75	0.75	0.75	1	2000	1
2018.06.14	14:00:00	0.72	0.72	0.72	0.72	1	100	1
2018.06.14	15:00:00	0.72	0.72	0.72	0.72	1	6900	1
2018.06.15	10:00:00	0.69	0.69	0.65	0.65	2	2200	1
2018.06.15	11:00:00	0.65	0.65	0.59	0.59	6	3100	1
2018.06.15	12:00:00	0.60	0.60	0.58	0.58	12	21900	1
2018.06.15	13:00:00	0.55	0.59	0.55	0.59	7	23000	1
2018.06.15	14:00:00	0.55	0.57	0.55	0.57	4	12400	1
2018.06.15	15:00:00	0.57	0.58	0.55	0.58	9	730100	1
2018.06.15	16:00:00	0.58	0.60	0.58	0.60	3	35000	1
2018.06.18	10:00:00	0.63	0.70	0.63	0.70	2	12000	1
2018.06.18	11:00:00	0.68	0.69	0.65	0.67	9	6000	1
2018.06.18	12:00:00	0.67	0.67	0.67	0.67	1	1000	1
2018.06.18	14:00:00	0.65	0.66	0.63	0.65	41	14700	1
2018.06.18	15:00:00	0.62	0.62	0.62	0.62	5	1900	1
2018.06.18	16:00:00	0.63	0.64	0.63	0.64	13	10700	1
2018.06.19	10:00:00	0.53	0.59	0.53	0.55	18	29400	1
