<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.06.01	11:00:00	2.13	2.13	2.13	2.13	1	10000	1
2018.06.01	15:00:00	1.05	1.05	1.05	1.05	1	200	1
2018.06.01	16:00:00	1.05	1.05	1.05	1.05	2	200	1
2018.06.05	11:00:00	1.22	1.22	1.20	1.20	2	7000	1
2018.06.05	13:00:00	1.09	1.09	1.09	1.09	1	2700	1
2018.06.05	14:00:00	0.98	0.98	0.98	0.98	1	5000	1
2018.06.05	15:00:00	0.93	0.93	0.93	0.93	1	100	1
2018.06.06	14:00:00	0.76	0.76	0.75	0.75	2	400	1
2018.06.07	11:00:00	0.60	0.60	0.60	0.60	1	11000	1
2018.06.08	14:00:00	0.66	0.66	0.66	0.66	1	3800	1
2018.06.12	11:00:00	0.55	0.55	0.55	0.55	2	1400000	1
2018.06.12	13:00:00	0.53	0.53	0.53	0.53	1	100	1
2018.06.12	16:00:00	0.45	0.45	0.45	0.45	1	15000	1
2018.06.13	11:00:00	0.43	0.43	0.43	0.43	1	2100	1
2018.06.13	14:00:00	0.37	0.37	0.37	0.37	1	1300	1
2018.06.13	15:00:00	0.38	0.38	0.38	0.38	1	200	1
2018.06.14	10:00:00	0.42	0.42	0.42	0.42	1	9000	1
2018.06.14	14:00:00	0.40	0.40	0.40	0.40	1	10000	1
2018.06.15	13:00:00	0.33	0.33	0.33	0.33	1	5000	1
2018.06.18	10:00:00	0.42	0.42	0.41	0.41	2	14400	1
2018.06.19	11:00:00	0.36	0.36	0.35	0.35	2	2500	1
2018.06.19	12:00:00	0.35	0.35	0.35	0.35	4	33000	1
2018.06.19	15:00:00	0.49	0.49	0.49	0.49	2	1300	1
2018.06.20	10:00:00	0.72	0.72	0.67	0.67	2	300	1
2018.06.20	11:00:00	0.65	0.65	0.65	0.65	1	1000	1
2018.06.20	14:00:00	0.75	0.75	0.68	0.68	2	2700	1
2018.06.20	15:00:00	0.73	0.73	0.73	0.73	1	100	1
2018.06.20	16:00:00	0.73	0.73	0.73	0.73	1	600	1
2018.06.21	11:00:00	0.61	0.61	0.61	0.61	1	500	1
2018.06.21	14:00:00	0.58	0.58	0.57	0.57	2	9900	1
2018.06.21	15:00:00	0.54	0.55	0.53	0.54	5	7800	1
2018.06.25	12:00:00	0.44	0.44	0.44	0.44	1	1000	1
2018.06.25	13:00:00	0.48	0.49	0.48	0.49	14	7400	1
2018.06.25	14:00:00	0.50	0.57	0.50	0.57	15	16200	1
2018.06.25	15:00:00	0.58	0.60	0.58	0.58	11	9200	1
2018.06.26	11:00:00	0.58	0.58	0.58	0.58	1	1000	1
2018.06.26	12:00:00	0.57	0.63	0.57	0.63	2	8000	1
2018.06.26	13:00:00	0.61	0.61	0.61	0.61	1	100	1
2018.06.26	15:00:00	0.60	0.60	0.60	0.60	1	8500	1
2018.06.27	12:00:00	0.81	0.81	0.81	0.81	1	2500	1
2018.06.27	13:00:00	0.82	0.85	0.82	0.85	2	4300	1
2018.06.28	12:00:00	0.90	0.90	0.90	0.90	4	29000	1
2018.06.28	14:00:00	0.93	0.93	0.93	0.93	1	100	1
2018.06.28	15:00:00	0.87	0.87	0.86	0.86	2	7000	1
2018.06.28	16:00:00	0.85	0.85	0.76	0.76	4	1406900	1
2018.06.29	10:00:00	0.76	0.76	0.76	0.76	1	4700	1
2018.07.02	10:00:00	0.90	0.96	0.90	0.96	2	40000	1
2018.07.02	11:00:00	0.95	0.97	0.95	0.97	4	50000	1
2018.07.02	16:00:00	0.92	0.92	0.92	0.92	1	1000	1
2018.07.03	11:00:00	1.10	1.10	1.10	1.10	1	2000	1
2018.07.03	13:00:00	1.03	1.03	0.95	0.95	2	5000	1
2018.07.03	14:00:00	1.00	1.00	1.00	1.00	1	1000	1
2018.07.03	16:00:00	0.92	1.00	0.92	1.00	11	9000	1
2018.07.04	10:00:00	0.92	0.92	0.92	0.92	1	100	1
2018.07.04	14:00:00	0.93	0.93	0.93	0.93	1	1500	1
2018.07.04	15:00:00	0.96	1.02	0.94	1.02	6	1001500	1
2018.07.04	16:00:00	1.25	1.27	1.25	1.27	2	4000	1
2018.07.05	10:00:00	1.65	1.65	1.45	1.45	2	13000	1
2018.07.05	11:00:00	1.31	1.31	1.13	1.13	5	20300	1
2018.07.05	12:00:00	1.23	1.25	1.20	1.20	68	42000	1
2018.07.05	13:00:00	1.33	1.33	1.28	1.28	2	11400	1
2018.07.05	14:00:00	1.15	1.15	1.15	1.15	1	3000	1
2018.07.05	15:00:00	1.14	1.18	1.14	1.18	2	200	1
2018.07.05	16:00:00	1.14	1.14	1.10	1.10	6	11600	1
2018.07.06	10:00:00	1.09	1.10	1.05	1.05	6	17000	1
2018.07.06	12:00:00	1.05	1.05	1.05	1.05	2	1300	1
2018.07.06	13:00:00	1.05	1.05	1.05	1.05	1	500	1
2018.07.06	14:00:00	1.11	1.12	1.11	1.12	2	5400	1
2018.07.06	16:00:00	1.08	1.08	1.08	1.08	1	100	1
2018.07.10	10:00:00	1.00	1.28	1.00	1.25	82	24100	1
2018.07.10	11:00:00	1.16	1.16	1.16	1.16	1	9000	1
2018.07.10	12:00:00	1.11	1.11	1.11	1.11	1	3000	1
2018.07.10	13:00:00	1.15	1.15	1.15	1.15	11	5000	1
2018.07.10	14:00:00	1.12	1.12	1.12	1.12	9	1000	1
2018.07.10	15:00:00	1.00	1.00	1.00	1.00	1	100	1
2018.07.10	16:00:00	1.00	1.00	0.95	0.95	3	9900	1
2018.07.11	10:00:00	0.97	1.01	0.95	1.01	5	21600	1
2018.07.11	11:00:00	1.00	1.06	1.00	1.06	8	5800	1
2018.07.11	12:00:00	1.01	1.01	0.90	0.90	10	100500	1
2018.07.11	13:00:00	0.93	0.98	0.93	0.98	2	5000	1
2018.07.11	14:00:00	0.94	0.94	0.94	0.94	1	1000	1
2018.07.11	15:00:00	0.85	0.85	0.85	0.85	1	500	1
2018.07.11	16:00:00	0.80	0.80	0.75	0.75	5	13100	1
2018.07.12	10:00:00	0.80	0.88	0.80	0.88	2	4600	1
2018.07.12	11:00:00	0.88	0.90	0.88	0.90	2	5100	1
2018.07.12	13:00:00	0.85	0.87	0.85	0.87	2	5100	1
2018.07.12	15:00:00	0.90	0.93	0.90	0.92	14	7000	1
2018.07.12	16:00:00	0.93	0.93	0.93	0.93	1	1600	1
