Ordens,Resultado
0,0
2,50
4,99
6,135
10,107
10,145
2,0
2,24
4,74
6,9
8,54
12,28
14,2
14,60
16,115
20,123
22,101
22,148
24,207
28,193
30,165
30,113
32,149
36,139
38,131
40,129
42,126
42,171
2,0
2,-63
6,-65
8,-72
10,-92
10,-4
14,-50
14,-14
16,70
20,43
22,19
24,6
24,-21
2,0
2,20
4,-44
6,-14
8,64
12,13
14,-29
14,-31
2,0
2,-66
6,-101
6,67
8,1
10,-67
12,-125
14,57
16,239
20,199
20,133
22,179
24,115
28,55
28,82
30,184
32,234
34,260
38,230
38,186
2,0
4,-18
6,-60
6,-136
8,-155
2,0
4,-22
6,-64
6,60
8,17
10,-19
12,-37
18,-60
18,-63
20,-44
2,0
2,-3
4,-47
6,-12
8,-11
10,19
12,-51
14,-13
16,-3
18,39
20,-16
2,0
4,-36
4,-30
6,50
8,70
10,116
12,164
16,120
18,90
20,58
20,64
22,78
24,123
28,101
30,81
30,149
32,283
2,0
2,64
4,3
6,60
8,0
10,17
12,42
14,72
18,65
18,84
20,97
22,196
2,0
2,-57
4,-33
6,-98
8,-157
2,0
2,4
4,5
6,54
8,55
10,74
12,102
14,116
18,108
20,101
20,161
24,142
24,202
26,300
2,0
2,24
4,50
8,18
8,36
10,-24
14,-53
14,2
16,-62
18,-127
20,-99
2,0
2,16
2,18
4,37
4,94
6,113
6,121
10,87
12,59
12,78
12,108
14,144
14,193
16,211
16,260
18,279
18,300
2,0
2,19
2,45
4,-30
6,-95
8,-81
8,-75
12,-82
14,-90
14,-66
14,-15
16,3
16,15
20,-24
20,-49
2,0
2,15
2,31
4,-30
6,-90
8,-160
2,0
4,-66
4,-53
4,-48
6,-90
8,-67
8,-16
10,-1
10,18
12,-24
14,-5
14,46
16,8
2,0
2,-41
4,-77
6,-59
6,-6
8,15
8,29
10,-6
12,-36
14,-9
14,-1
16,-29
20,-47
20,-27
20,-6
24,-30
24,-76
28,-105
30,-123
30,-107
30,-83
32,-119
34,-101
34,-89
38,-121
38,-152
2,0
2,14
2,22
4,-8
6,14
6,15
8,34
8,82
10,102
10,118
12,86
14,105
14,123
16,143
16,191
2,0
2,22
2,48
4,8
6,-34
8,-15
8,8
10,-40
12,-20
12,28
14,-6
16,-42
18,-21
18,7
20,24
20,51
22,69
22,83
24,45
26,69
26,77
30,36
30,-4
32,17
32,38
34,58
34,62
2,0
2,21
2,36
4,58
4,77
6,100
6,125
8,141
8,148
12,134
14,110
14,129
14,176
16,125
18,87
20,47
22,70
22,127
24,91
26,110
26,112
28,70
30,32
2,0
2,-44
4,-80
6,-60
6,-36
8,-12
8,47
10,65
10,74
12,38
14,42
14,41
16,61
16,75
18,94
18,111
20,73
22,95
22,103
24,57
26,23
28,44
28,75
30,39
32,60
32,74
34,92
34,141
2,0
2,18
2,29
4,47
4,56
6,10
10,-15
12,-47
12,-28
12,-23
14,-63
16,-101
18,-77
18,-69
20,-105
22,-88
22,-86
26,-111
26,-151
2,0
2,19
2,32
4,-7
6,-47
8,-87
12,-126
12,-148
2,0
2,19
2,44
4,1
6,34
6,54
8,73
8,121
10,139
10,160
12,121
14,155
14,185
16,202
16,244
18,266
18,277
2,0
4,-30
4,-11
4,38
6,-5
8,-44
10,-83
12,-62
12,-32
14,-11
14,37
16,56
16,79
18,98
18,102
20,63
22,23
26,-8
26,-47
28,-26
28,-17
30,2
30,16
32,36
32,80
34,42
36,6
2,0
2,21
2,35
4,54
4,81
6,101
6,103
8,122
8,125
10,89
12,108
12,164
14,130
18,97
18,117
18,169
20,129
22,148
22,154
2,0
2,25
2,36
4,52
4,67
6,28
8,-12
10,-55
12,-34
12,2
14,22
14,30
16,-14
18,9
18,17
20,-23
22,-63
24,-99
28,-108
28,-88
28,-76
30,-54
30,-48
32,-31
32,17
2,0
2,22
2,30
4,53
4,65
6,74
6,75
8,35
10,10
12,-36
14,-78
16,-112
18,-149
2,0
2,22
2,74
4,30
6,-12
8,-58
10,-37
10,-3
12,18
12,26
14,45
14,64
16,83
16,164
18,184
18,218
20,238
20,241
22,201
2,0
2,16
2,17
4,36
4,52
6,76
6,108
8,126
8,137
10,101
12,64
14,26
16,-7
20,-21
20,-1
20,16
22,35
22,41
24,61
24,74
26,34
28,51
28,48
30,7
32,-27
34,-8
34,10
36,20
36,39
2,0
2,-32
4,-8
4,11
6,32
6,48
8,65
8,90
10,54
12,13
14,-26
16,-10
16,13
18,-24
20,-4
20,8
24,-18
24,0
24,11
28,-16
28,-19
30,-1
2,0
2,18
2,33
4,50
4,78
