Seq,Ordens,Resultado
1,0,0
2,2,50
3,4,99
4,6,135
5,10,107
6,10,145
7,2,0
8,2,24
9,4,74
10,6,9
11,8,54
12,12,28
13,14,2
14,14,60
15,16,115
16,20,123
17,22,101
18,22,148
19,24,207
20,28,193
21,30,165
22,30,113
23,32,149
24,36,139
25,38,131
26,40,129
27,42,126
28,42,171
29,2,0
30,2,-63
31,6,-65
32,8,-72
33,10,-92
34,10,-4
35,14,-50
36,14,-14
37,16,70
38,20,43
39,22,19
40,24,6
41,24,-21
42,2,0
43,2,20
44,4,-44
45,6,-14
46,8,64
47,12,13
48,14,-29
49,14,-31
50,2,0
51,2,-66
52,6,-101
53,6,67
54,8,1
55,10,-67
56,12,-125
57,14,57
58,16,239
59,20,199
60,20,133
61,22,179
62,24,115
63,28,55
64,28,82
65,30,184
66,32,234
67,34,260
68,38,230
69,38,186
70,2,0
71,4,-18
72,6,-60
73,6,-136
74,8,-155
75,2,0
76,4,-22
77,6,-64
78,6,60
79,8,17
80,10,-19
81,12,-37
82,18,-60
83,18,-63
84,20,-44
85,2,0
86,2,-3
87,4,-47
88,6,-12
89,8,-11
90,10,19
91,12,-51
92,14,-13
93,16,-3
94,18,39
95,20,-16
96,2,0
97,4,-36
98,4,-30
99,6,50
100,8,70
101,10,116
102,12,164
103,16,120
104,18,90
105,20,58
106,20,64
107,22,78
108,24,123
109,28,101
110,30,81
111,30,149
112,32,283
113,2,0
114,2,64
115,4,3
116,6,60
117,8,0
118,10,17
119,12,42
120,14,72
121,18,65
122,18,84
123,20,97
124,22,196
125,2,0
126,2,-57
127,4,-33
128,6,-98
129,8,-157
130,2,0
131,2,4
132,4,5
133,6,54
134,8,55
135,10,74
136,12,102
137,14,116
138,18,108
139,20,101
140,20,161
141,24,142
142,24,202
143,26,300
144,2,0
145,2,24
146,4,50
147,8,18
148,8,36
149,10,-24
150,14,-53
151,14,2
152,16,-62
153,18,-127
154,20,-99
155,2,0
156,2,16
157,2,18
158,4,37
159,4,94
160,6,113
161,6,121
162,10,87
163,12,59
164,12,78
165,12,108
166,14,144
167,14,193
168,16,211
169,16,260
170,18,279
171,18,300
172,2,0
173,2,19
174,2,45
175,4,-30
176,6,-95
177,8,-81
178,8,-75
179,12,-82
180,14,-90
181,14,-66
182,14,-15
183,16,3
184,16,15
185,20,-24
186,20,-49
187,2,0
188,2,15
189,2,31
190,4,-30
191,6,-90
192,8,-160
193,2,0
194,4,-66
195,4,-53
196,4,-48
197,6,-90
198,8,-67
199,8,-16
200,10,-1
201,10,18
202,12,-24
203,14,-5
204,14,46
205,16,8
206,2,0
207,2,-41
208,4,-77
209,6,-59
210,6,-6
211,8,15
212,8,29
213,10,-6
214,12,-36
215,14,-9
216,14,-1
217,16,-29
218,20,-47
219,20,-27
220,20,-6
221,24,-30
222,24,-76
223,28,-105
224,30,-123
225,30,-107
226,30,-83
227,32,-119
228,34,-101
229,34,-89
230,38,-121
231,38,-152
232,2,0
233,2,14
234,2,22
235,4,-8
236,6,14
237,6,15
238,8,34
239,8,82
240,10,102
241,10,118
242,12,86
243,14,105
244,14,123
245,16,143
246,16,191
247,2,0
248,2,22
249,2,48
250,4,8
251,6,-34
252,8,-15
253,8,8
254,10,-40
255,12,-20
256,12,28
257,14,-6
258,16,-42
259,18,-21
260,18,7
261,20,24
262,20,51
263,22,69
264,22,83
265,24,45
266,26,69
267,26,77
268,30,36
269,30,-4
270,32,17
271,32,38
272,34,58
273,34,62
274,2,0
275,2,21
276,2,36
277,4,58
278,4,77
279,6,100
280,6,125
281,8,141
282,8,148
283,12,134
284,14,110
285,14,129
286,14,176
287,16,125
288,18,87
289,20,47
290,22,70
291,22,127
292,24,91
293,26,110
294,26,112
295,28,70
296,30,32
297,2,0
298,2,-44
299,4,-80
300,6,-60
301,6,-36
302,8,-12
303,8,47
304,10,65
305,10,74
306,12,38
307,14,42
308,14,41
309,16,61
310,16,75
311,18,94
312,18,111
313,20,73
314,22,95
315,22,103
316,24,57
317,26,23
318,28,44
319,28,75
320,30,39
321,32,60
322,32,74
323,34,92
324,34,141
325,2,0
326,2,18
327,2,29
328,4,47
329,4,56
330,6,10
331,10,-15
332,12,-47
333,12,-28
334,12,-23
